대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중
3509,3509. 세종사이버대학교,37980,8436,5868,8573,0.22211690363349132,0.15450236966824646,0.225724065297525
3784,3784. 벽산아파트,37956,9304,5190,10081,0.24512593529349774,0.13673727473917166,0.26559700706080724
275,275. 신동아아파트,37953,7065,6768,8786,0.18615129238795353,0.17832582404553,0.23149685136879825
102,102. 망원역 1번출구 앞,37930,4114,6742,10634,0.10846295808067492,0.17774848404956498,0.28035855523332454
1297,1297. 석촌호수교차로(동호 팔각정 앞),37867,4468,6265,11580,0.11799191908521932,0.1654474872580347,0.30580716719042966
1008,1008. 암사역 3번출구(국민은행앞),37812,5471,6171,10141,0.1446895165555908,0.16320215804506505,0.2681952819210833
1231,1231. 잠실역 6번출구,37792,3130,9340,10498,0.08282176121930568,0.24714225232853515,0.2777836579170195
3772,3772. 길성그랑프리텔아파트,37772,7985,6469,9202,0.21139997882029016,0.1712644286773271,0.24361961241130997
1674,1674. 서울북부고용센터앞,37530,2787,7993,8190,0.07426059152677858,0.21297628563815615,0.2182254196642686
794,794.양천문화회관,37435,6755,5365,10238,0.18044610658474688,0.1433150794710832,0.2734873781220783
565,565. 옥수역 3번출구,37283,3520,7710,11514,0.09441300324544699,0.2067966633586353,0.30882707936593085
4868,4868. 석촌호수 서호 남단,37250,8106,6792,8527,0.21761073825503355,0.18233557046979865,0.22891275167785236
931,931. 역촌파출소,37199,8359,5317,9052,0.2247103416758515,0.1429339498373612,0.24333987472781526
780,780.신정교 하부,37098,4926,4942,12905,0.13278343846029436,0.1332147285567955,0.3478624184592161
259,259. 대방역6번출구,36877,12647,4908,7783,0.3429508907991431,0.13309108658513435,0.21105295983946634
755,755. 목동1단지아파트 상가 앞,36836,3820,6916,9945,0.10370289933760451,0.18775111304158976,0.2699804539037898
1668,1668. 중계역 6번출구,36659,4240,7800,9505,0.11566054720532475,0.2127717613682861,0.2592814861289179
2704,2704.홈플러스(강서점),36599,6843,7171,7354,0.18697232164813246,0.19593431514522255,0.20093445176097707
1103,1103. 방화역 4번출구앞,36427,5298,6145,9211,0.14544156806764214,0.16869355148653473,0.2528618881598814
1192,1192. 마곡수명산파크 209동 건너편,36331,10577,4596,8223,0.29112878808730835,0.12650353692438965,0.22633563623351957
734,734. 신트리공원 입구,36220,8924,5418,9127,0.24638321369409166,0.1495858641634456,0.2519878520154611
670,670.삼육서울병원 버스정류장,36218,3201,6615,9352,0.0883814677784527,0.1826439891766525,0.25821414766138384
2708,2708.강서한강자이타워 앞,36216,3932,9881,7444,0.10857079743759664,0.27283521095648333,0.2055445107134968
419,419. 홈플러스 마포점 앞,36010,1831,7013,12180,0.05084698694806998,0.19475145792835324,0.3382393779505693
1611,1611. 과기대 입구(우),35973,2629,6671,8795,0.07308258972006783,0.1854446390348317,0.24448892224724098
602,602. 장안동 사거리,35880,3393,6241,9385,0.09456521739130434,0.17394091415830545,0.2615663322185061
2641,2641.송파역 4번출구,35803,3903,6934,9232,0.10901321118342039,0.193670921431165,0.2578554869703656
232,232. 양평우림 이비즈센타 앞,35725,6635,8978,6953,0.18572428271518546,0.25130860741777467,0.1946256123163051
361,361. 동묘앞역 1번출구 뒤,35677,4772,5362,9090,0.1337556408890882,0.15029290579364857,0.25478599658043
4535,4535. 목동12단지 아파트,35650,8333,4934,10134,0.23374474053295932,0.13840112201963534,0.28426367461430574
3789,3789. 염창나들목,35579,6987,4323,11605,0.19637988701200146,0.12150425812979566,0.3261755529947441
1908,1908. 해원리바파크 육교 밑,35460,8933,6834,8707,0.25191765369430347,0.19272419627749576,0.2455442752397067
5095,5095. 원당근린공원,35410,5201,6329,9585,0.14687941259531206,0.1787348206721265,0.27068624682293135
147,147. 마포역 4번출구 뒤,35286,4198,8451,9561,0.11897069659354985,0.2395000850195545,0.2709573201836422
3600,3600.사근빗물펌프장 건너편,35283,3731,5869,9886,0.10574497633421194,0.16634073066349234,0.28019159368534424
1113,1113. 서남환경공원 버스정류장,35265,9048,4635,8900,0.256571671629094,0.13143343258188006,0.2523748759393166
5333,5333. 노원역9번-10번 출구 앞,35229,1787,8044,9586,0.050725254761702004,0.22833461069005648,0.27210536773680777
290,290. 새말소공원,35200,8414,5656,7016,0.23903409090909092,0.16068181818181818,0.1993181818181818
2002,2002. 노들역 1번출구,35169,3801,5524,12506,0.10807813699564958,0.15707014700446417,0.35559725894964317
2176,2176. 보라매공원 보도육교,35163,6099,4834,10261,0.17344936438870404,0.13747404942695446,0.29181241646048406
1232,1232. 잠실주공 521동 건너편,35111,2186,7841,10875,0.06225969069522372,0.22332032696306,0.3097319928227621
2377,2377. 수서역 5번출구,35048,3918,9503,8271,0.1117895457658069,0.2711424332344214,0.23599064140607168
4553,4553. 당산삼성2차아파트,35013,8118,5691,7859,0.23185673892554196,0.16253962813812012,0.22445948647645161
383,383. 신당역 12번 출구 뒤,34955,3693,5451,8438,0.10565012158489487,0.15594335574309828,0.24139608067515378
2744,2744.강서세무서 앞,34944,8443,5579,7489,0.24161515567765568,0.1596554487179487,0.2143143315018315
6058,6058. 시청역 2번출구,34914,9096,8584,5161,0.2605258635504382,0.24586125909377327,0.14782035859540585
1150,1150. 송정역 1번출구,34775,5832,6910,7868,0.16770668583752696,0.198705966930266,0.22625449317038102
