대여소번호,대여소명,건수통일_클러스터,비중통일_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"3985","3985. 디폴리스 지식산업센터",Group 3,Group 2,10542,811,5841,1195,7.69%,55.41%,11.34%
"464","464. 삼청동 골목",Group 3,Group 1,10526,1531,1609,2274,14.54%,15.29%,21.60%
"586","586. 마장동 주민센터",Group 3,Group 4,10523,2800,928,2728,26.61%,8.82%,25.92%
"637","637. KAIST 경영대학 앞",Group 3,Group 1,10510,846,2163,2281,8.05%,20.58%,21.70%
"4636","4636. 용산구꿈나무종합타운 앞",Group 3,Group 1,10501,1311,1817,2757,12.48%,17.30%,26.25%
"640","640. 동대문경찰서 교차로",Group 3,Group 1,10493,2091,1665,2469,19.93%,15.87%,23.53%
"506","506. 금호 어울림 아파트 앞",Group 3,Group 2,10487,687,4286,1873,6.55%,40.87%,17.86%
"4350","4350.누리숲어린이공원 앞",Group 3,Group 1,10485,1425,2005,2728,13.59%,19.12%,26.02%
"3547","3547.상왕십리역 6번 출입구",Group 3,Group 3,10469,911,2272,2758,8.70%,21.70%,26.34%
"2547","2547. 반포래미안 리오센트",Group 3,Group 1,10468,1750,1832,2869,16.72%,17.50%,27.41%
"5328","5328.롯데캐슬시그니처아파트 앞",Group 3,Group 1,10466,1967,1556,2519,18.79%,14.87%,24.07%
"441","441.염천교사거리",Group 3,Group 2,10454,1450,3685,1005,13.87%,35.25%,9.61%
"1302","1302. 한성대입구역6번출구 뒤",Group 3,Group 1,10454,1943,1529,2549,18.59%,14.63%,24.38%
"128","128. 신촌역(2호선) 1번출구 옆",Group 3,Group 1,10442,1054,2366,2562,10.09%,22.66%,24.54%
"4576","4576.보라매sk뷰 108동 앞",Group 3,Group 4,10440,2723,1262,2468,26.08%,12.09%,23.64%
"2105","2105. 미성동 신림체육센터",Group 3,Group 1,10436,1783,1248,2631,17.09%,11.96%,25.21%
"4545","4545. 청소년음악센터",Group 3,Group 1,10422,1450,1064,2479,13.91%,10.21%,23.79%
"3801","3801. 이랜드글로벌R&D센터",Group 3,Group 2,10415,360,5728,863,3.46%,55.00%,8.29%
"1145","1145. 곰달래 문화복지센터 B",Group 3,Group 3,10410,1278,1355,2927,12.28%,13.02%,28.12%
"1930","1930. 개봉지구대 개봉치안센터",Group 3,Group 1,10408,2279,1329,2506,21.90%,12.77%,24.08%
"461","461. 서울경찰청",Group 3,Group 1,10395,2443,1763,1960,23.50%,16.96%,18.86%
"3718","3718. 번동3단지 버스정류장",Group 3,Group 3,10377,997,1941,2859,9.61%,18.70%,27.55%
"1469","1469.먹골역 4번출구",Group 3,Group 1,10370,1350,1881,2691,13.02%,18.14%,25.95%
"1540","1540. 가오리역",Group 3,Group 1,10362,1288,1715,2852,12.43%,16.55%,27.52%
"1332","1332. 석계역 5번출구 건너편",Group 3,Group 3,10358,985,1731,2857,9.51%,16.71%,27.58%
"5318","5318. 극동의 푸른별 아파트 뒤(중계4동주민센터 앞)",Group 3,Group 1,10356,2496,1031,2215,24.10%,9.96%,21.39%
"1339","1339. 삼성전자서비스 성북센터",Group 3,Group 1,10355,1553,1554,2545,15.00%,15.01%,24.58%
"5506","5506. 월드컵참누리아파트",Group 3,Group 1,10353,2442,1389,2710,23.59%,13.42%,26.18%
"3505","3505. 신양초교앞 교차로",Group 3,Group 3,10351,1072,1524,3006,10.36%,14.72%,29.04%
"5764","5764. 한국체육대학교",Group 3,Group 3,10341,649,2224,3036,6.28%,21.51%,29.36%
"3786","3786. 강서힐스테이트 상가 앞",Group 3,Group 1,10332,1328,1668,2734,12.85%,16.14%,26.46%
"1468","1468.먹골역 7번 출구",Group 3,Group 3,10327,1107,1673,2745,10.72%,16.20%,26.58%
"6176","6176. 유광사 여성병원 앞",Group 3,Group 1,10313,1570,1624,2700,15.22%,15.75%,26.18%
"526","526. 용답토속공원 앞",Group 3,Group 2,10309,1794,3701,1148,17.40%,35.90%,11.14%
"2315","2315. 봉은사역 5번출구 옆",Group 3,Group 1,10303,1364,2994,2197,13.24%,29.06%,21.32%
"1464","1464.중화역 4번출구",Group 3,Group 3,10298,1051,1827,2834,10.21%,17.74%,27.52%
"4463","4463. 방이역 2번 출구",Group 3,Group 1,10239,1876,1638,2585,18.32%,16.00%,25.25%
"6178","6178. 마스터밸류에이스 지식산업센터",Group 3,Group 1,10230,680,3176,2264,6.65%,31.05%,22.13%
"1869","1869.롯데캐슬골드파크3차 301동 앞",Group 3,Group 4,10226,3199,1103,1981,31.28%,10.79%,19.37%
"2655","2655.송이공원",Group 3,Group 1,10223,1777,1514,2863,17.38%,14.81%,28.01%
"115","115. 마스타 빌딩 앞",Group 3,Group 3,10221,1155,1493,2785,11.30%,14.61%,27.25%
"440","440. 하늘공원 입구",Group 3,Group 3,10210,273,1736,4993,2.67%,17.00%,48.90%
"3558","3558.마장동 금호어울림APT앞",Group 3,Group 1,10192,1433,1425,2894,14.06%,13.98%,28.39%
"4269","4269. 연희IC 남측",Group 3,Group 3,10190,1065,1602,2906,10.45%,15.72%,28.52%
"4826","4826. 홈플러스 면목점",Group 3,Group 1,10181,1627,1398,2562,15.98%,13.73%,25.16%
"782","782.서남병원 후문",Group 3,Group 4,10178,2512,1692,2245,24.68%,16.62%,22.06%
"191","191. 서우빌딩",Group 3,Group 1,10164,1983,1217,2536,19.51%,11.97%,24.95%
"3103","3103. 홍제삼거리 북측",Group 3,Group 1,10152,1319,1557,2822,12.99%,15.34%,27.80%
"1217","1217. 송파파인타운 7단지",Group 3,Group 1,10147,1311,1766,2726,12.92%,17.40%,26.87%
"3207","3207.양남사거리1",Group 3,Group 1,10140,1412,2693,1765,13.93%,26.56%,17.41%
"3520","3520. 광진경찰서",Group 3,Group 1,10109,2191,1352,2419,21.67%,13.37%,23.93%
"4860","4860. 가락쌍용2차아파트 103동",Group 3,Group 1,10107,1376,1873,2869,13.61%,18.53%,28.39%
"3815","3815. 광일빌딩",Group 3,Group 1,10089,1862,1111,2831,18.46%,11.01%,28.06%
"4123","4123. 배봉초교 교차로",Group 3,Group 1,10082,1593,2240,2472,15.80%,22.22%,24.52%
"3123","3123.DMC파크뷰자이1단지 110동 앞",Group 3,Group 1,10077,2055,1308,2924,20.39%,12.98%,29.02%
"353","353. 재동초교 앞 삼거리",Group 3,Group 3,10076,875,2186,2952,8.68%,21.70%,29.30%
"1828","1828. 독산동 한양수자인아파트 앞",Group 3,Group 4,10066,2855,1272,2138,28.36%,12.64%,21.24%
"4320","4320. 비석공원",Group 3,Group 1,10056,1227,2374,2755,12.20%,23.61%,27.40%
"925","925. 불광역 2번출구",Group 3,Group 3,10055,793,2188,2535,7.89%,21.76%,25.21%
"122","122. 신성기사식당 앞",Group 3,Group 1,10037,1717,1521,2700,17.11%,15.15%,26.90%
"1719","1719. 신도봉사거리 버스정류장",Group 3,Group 1,10031,1561,1797,2529,15.56%,17.91%,25.21%
"2606","2606. 위례동주민센터",Group 3,Group 1,10029,2024,1898,2531,20.18%,18.93%,25.24%
"4133","4133.래미안허브리츠아파트 앞",Group 3,Group 1,10028,1552,1765,2496,15.48%,17.60%,24.89%
"2390","2390. 구룡마을 입구 (래미안블레스티지 아파트)",Group 3,Group 1,10020,1855,1241,2676,18.51%,12.39%,26.71%
"5342","5342. 상계공원 입구",Group 3,Group 1,10017,2193,1245,2664,21.89%,12.43%,26.59%
"4367","4367. kt 행당빌딩 앞",Group 3,Group 3,10010,1030,1579,2705,10.29%,15.77%,27.02%
"344","344. 성균관대 E하우스 앞",Group 3,Group 1,10002,1760,1323,2354,17.60%,13.23%,23.54%
"2212","2212.서초현대4차아파트 201동 맞은편",Group 3,Group 1,9986,2077,1275,2695,20.80%,12.77%,26.99%
"520","520. 상왕십리역 4번 출구 앞",Group 3,Group 1,9981,1514,1913,2225,15.17%,19.17%,22.29%
"3311","3311.서울대입구역 4번 출구",Group 3,Group 3,9954,579,2076,2585,5.82%,20.86%,25.97%
"4146","4146.이삭어린이공원",Group 3,Group 1,9952,1723,1877,2596,17.31%,18.86%,26.09%
"1429","1429. 장안중학교",Group 3,Group 1,9947,1158,1578,2622,11.64%,15.86%,26.36%
"1734","1734. 쌍문현대1차아파트 108동 앞",Group 3,Group 1,9945,2322,1081,2697,23.35%,10.87%,27.12%
"2089","2089.사당역10번출구(금강빌딩)",Group 3,Group 3,9939,1073,1608,2582,10.80%,16.18%,25.98%
"387","387. 훈련원공원주차장 앞",Group 3,Group 1,9927,996,2209,2239,10.03%,22.25%,22.55%
"4025","4025. 한천교 동편",Group 3,Group 3,9920,1066,1427,3309,10.75%,14.39%,33.36%
"4147","4147.청량리역광장",Group 3,Group 1,9912,1220,1948,2715,12.31%,19.65%,27.39%
"4370","4370. 성동교 사거리",Group 3,Group 2,9904,494,3407,1979,4.99%,34.40%,19.98%
"2550","2550.양재동 꽃시장 건너편",Group 3,Group 1,9901,1565,2487,1983,15.81%,25.12%,20.03%
"1403","1403. 중화빌딩 앞 (동부시장)",Group 3,Group 3,9897,685,1931,2877,6.92%,19.51%,29.07%
"4573","4573. 두산위브아파트",Group 3,Group 4,9880,3008,1231,2651,30.45%,12.46%,26.83%
"4653","4653. 불광역 9번 출구 맞은편",Group 3,Group 3,9873,969,1637,2490,9.81%,16.58%,25.22%
"1170","1170. 강서구보건소",Group 3,Group 1,9850,1188,1518,2471,12.06%,15.41%,25.09%
"4105","4105. 서울교통공사사거리 교통섬",Group 3,Group 1,9847,1612,2559,1634,16.37%,25.99%,16.59%
"5753","5753. 호반써밋",Group 3,Group 1,9845,1781,1670,2502,18.09%,16.96%,25.41%
"4603","4603. 한강GS에클라트 건너편 교통섬",Group 3,Group 1,9841,1726,2181,2232,17.54%,22.16%,22.68%
"2241","2241.양재전화국 사거리",Group 3,Group 1,9826,1373,2473,2396,13.97%,25.17%,24.38%
"2420","2420.학여울역 사거리(LG베스트샵 앞)",Group 3,Group 4,9816,3061,1915,2288,31.18%,19.51%,23.31%
"4846","4846. 상봉동양엔파트 앞",Group 3,Group 1,9795,1245,1243,2487,12.71%,12.69%,25.39%
"5759","5759. 풍납근린공원",Group 3,Group 1,9784,1015,2093,2599,10.37%,21.39%,26.56%
"5330","5330. 구립수락노인종합복지관",Group 3,Group 1,9782,2005,1579,2344,20.50%,16.14%,23.96%
"4212","4212. 한화오벨리스크 앞",Group 3,Group 4,9776,2395,1255,2500,24.50%,12.84%,25.57%
"4117","4117. 휘경119안전센터 앞",Group 3,Group 1,9765,1174,1795,2551,12.02%,18.38%,26.12%
"285","285. 콤텍시스템 앞",Group 3,Group 1,9747,1184,2426,2180,12.15%,24.89%,22.37%
"408","408. LG CNS앞",Group 3,Group 2,9744,719,3442,1133,7.38%,35.32%,11.63%
"1553","1553.서울북부고용노동지청",Group 3,Group 3,9738,1182,1519,2695,12.14%,15.60%,27.68%
"105","105. 합정역 5번출구 앞",Group 3,Group 3,9733,548,2061,2892,5.63%,21.18%,29.71%
"1340","1340. 광운초등학교 앞",Group 3,Group 4,9728,3044,1121,2141,31.29%,11.52%,22.01%
"4710","4710. 자교교회 앞",Group 3,Group 1,9727,1790,1387,2541,18.40%,14.26%,26.12%
"3420","3420. 성균관대입구 사거리 B",Group 3,Group 3,9725,894,1605,2597,9.19%,16.50%,26.70%
"4485","4485. 잠실나루역 고가하부",Group 3,Group 3,9718,784,2251,2635,8.07%,23.16%,27.11%
"617","617. 청솔우성아파트 앞",Group 3,Group 4,9715,2428,951,2444,24.99%,9.79%,25.16%
"4689","4689. 은평서해그랑블아파트앞",Group 3,Group 1,9707,2158,1282,2513,22.23%,13.21%,25.89%
"4962","4962.고덕비즈밸리 디엠스퀘어 앞",Group 3,Group 2,9689,197,4658,1239,2.03%,48.08%,12.79%
"195","195. 모래내고가차도",Group 3,Group 1,9683,1704,1258,2543,17.60%,12.99%,26.26%
"3552","3552.서울숲 공영주차장앞",Group 3,Group 3,9673,216,1498,4636,2.23%,15.49%,47.93%
"6180","6180.양천향교역 3번출구",Group 3,Group 1,9660,1888,1775,2287,19.54%,18.37%,23.67%
"1833","1833. 독산역 1번출구 A",Group 3,Group 4,9657,3034,1477,1766,31.42%,15.29%,18.29%
"5313","5313. 중계주공2단지 앞",Group 3,Group 3,9656,1362,1235,2918,14.11%,12.79%,30.22%
"156","156. 서울서부지방법원 앞",Group 3,Group 1,9651,1038,2370,2059,10.76%,24.56%,21.33%
"3707","3707. 드래곤타워 앞",Group 3,Group 1,9643,1627,1441,2431,16.87%,14.94%,25.21%
"430","430. 장충동먹자골목 앞",Group 3,Group 1,9620,1379,1841,2183,14.33%,19.14%,22.69%
"3963","3963. 에이스 하드웨어(시흥대로 396) 앞",Group 3,Group 4,9611,2718,1320,1977,28.28%,13.73%,20.57%
"251","251. 서울지방병무청 버스정류장",Group 3,Group 1,9599,1083,1674,2483,11.28%,17.44%,25.87%
"2514","2514.사평역 2번출구",Group 3,Group 1,9591,1838,1825,2265,19.16%,19.03%,23.62%
"2654","2654.올림픽선수촌아파트 136동 앞",Group 3,Group 1,9591,1537,1408,2453,16.03%,14.68%,25.58%
"394","394. 경희궁 자이 3단지",Group 3,Group 4,9589,2807,2101,1599,29.27%,21.91%,16.68%
"5310","5310. 목련아파트",Group 3,Group 4,9588,2434,1202,1938,25.39%,12.54%,20.21%
