대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"308","308. 광화문 S타워 앞",30610,8.20%,41.50%,10.28%
"1018","1018. 둔촌 주공 GS 맞은편",30598,16.83%,14.42%,27.23%
"704","704. 남부법원검찰청 교차로",30572,12.78%,20.53%,21.60%
"2525","2525.반포쇼핑타운 2동 앞",30447,5.09%,19.04%,36.19%
"3514","3514. 왕십리교회옆",30422,14.66%,15.61%,26.07%
"5311","5311. 주공601동 상가 노원지하보도 앞",30225,6.68%,20.26%,26.20%
"458","458. 광화문역 5번출구",30185,10.81%,26.93%,22.52%
"186","186. 월드컵공원",30172,2.47%,11.35%,53.54%
"4564","4564. 63스퀘어",30163,11.71%,29.45%,16.28%
"305","305. 종로구청 옆",30136,13.63%,27.36%,17.25%
"3002","3002.벽산상암스마트큐브",30128,10.40%,18.41%,29.81%
"3657","3657. 서울천호동우체국",30123,10.00%,14.95%,28.50%
"5064","5064. 양천향교역8번출구",30120,25.18%,19.67%,18.96%
"284","284. 센트럴 푸르지오 시티 앞",30064,15.68%,20.95%,26.87%
"4096","4096.창동역2번출구 하나은행365 앞",30017,8.91%,23.01%,25.09%
"1663","1663. 동해문화예술관앞",29993,8.51%,18.24%,21.04%
"5878","5878. 우리은행 앞",29951,2.74%,48.24%,17.27%
"1669","1669. 중계역 3번출구",29939,10.47%,20.54%,23.99%
"543","543. 구의공원(테크노마트 앞)",29895,8.35%,24.02%,27.20%
"302","302. 경복궁역 6번출구 뒤",29892,21.16%,18.65%,22.84%
"2732","2732.마곡수명산 1-2단지",29865,30.76%,11.41%,22.77%
"1198","1198. LG 사이언스파크",29807,22.72%,34.32%,10.13%
"786","786.목동아파트 8단지 상가동 앞",29591,17.47%,15.49%,28.29%
"4527","4527. 목동신시가지아파트6단지",29561,10.23%,14.05%,21.63%
"568","568. 청계8가 사거리 B",29551,15.58%,17.67%,27.30%
"1220","1220. 잠실근린공원",29528,21.39%,14.96%,27.01%
