대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
284,284. 센트럴 푸르지오 시티 앞,30064,4714.0,6299.0,8078.0,20.951969132517295,26.869345396487493,2,2
285,285. 콤텍시스템 앞,9747,1184.0,2426.0,2180.0,24.88970965425259,22.365856160870013,1,3
286,286. 우성아파트 교차로,11709,1901.0,2606.0,2576.0,22.256383978136476,22.000170808779572,1,3
287,287. 영등포전화국사거리 (서강어린이공원),26074,5186.0,4173.0,6797.0,16.00444887627522,26.06811382986883,3,2
288,288. 쌍용예가(구청별관),18171,3685.0,3403.0,3944.0,18.727642947553793,21.70491442408233,3,3
289,289. 대림3동사거리,15207,2685.0,2470.0,3568.0,16.242519892154927,23.462878937331492,3,1
290,290. 새말소공원,35200,8414.0,5656.0,7016.0,16.068181818181817,19.93181818181818,2,2
291,291. 문래동 하이테크 시티,29495,1783.0,11209.0,4464.0,38.003051364638075,15.134768604848277,2,4
292,292. 영일 어린이공원,18838,4186.0,2606.0,4484.0,13.833740312135046,23.802951481048943,3,1
293,293. 충북 미래관,29033,8438.0,3732.0,7340.0,12.854338166913513,25.281576137498707,2,2
295,295.영등포공원 분수대 앞,3833,1246.0,479.0,929.0,12.496738846856248,24.23689016436212,1,1
296,296.KT플라자 영등포점,33379,6709.0,5403.0,8172.0,16.18682405105006,24.482459031127355,2,2
297,297.국회3문,2522,485.0,681.0,574.0,27.002379064234734,22.759714512291833,1,3
298,298.KBS 연구동 건너편,6744,1414.0,2007.0,1269.0,29.759786476868328,18.816725978647685,1,3
299,299.여의도 순복음교회,6444,186.0,1187.0,3016.0,18.420235878336435,46.8032278088144,1,1
300,300. 정동사거리,11090,2584.0,2247.0,1918.0,20.261496844003606,17.294860234445448,1,3
301,301. 경복궁역 7번출구 앞,10633,2191.0,1361.0,2388.0,12.799774287595223,22.458384275369134,1,1
302,302. 경복궁역 6번출구 뒤,29892,6324.0,5575.0,6827.0,18.650475043489898,22.838886658637765,2,2
303,303. 광화문역 1번출구 앞,31377,5568.0,7206.0,5270.0,22.965866717659434,16.79574210408898,2,2
305,305. 종로구청 옆,30136,4107.0,8244.0,5199.0,27.355986195911868,17.25179187682506,2,3
307,307. 서울역사박물관 앞,12092,1224.0,3123.0,2275.0,25.826993053258352,18.814091961627522,1,3
308,308. 광화문 S타워 앞,30610,2510.0,12703.0,3148.0,41.49950996406403,10.28422084286181,2,4
309,309. 광화문역 6번출구 옆 B,7796,593.0,2755.0,1048.0,35.3386351975372,13.442791174961519,1,4
310,310. 청계광장 옆,18389,2745.0,4785.0,3115.0,26.020990809723205,16.93947468595356,3,3
314,314. 국립현대미술관,14738,1058.0,2982.0,4377.0,20.233410232053195,29.698737956303432,3,1
316,316. 종각역 1번출구 앞,23243,4394.0,5196.0,3393.0,22.35511766983608,14.597943466850236,3,3
318,318. 광교사거리 남측,11992,1143.0,3436.0,2075.0,28.652434956637755,17.303202134756503,1,3
320,320. 을지로입구역 4번출구 앞,15406,2166.0,3684.0,2298.0,23.912761261846033,14.916266389718292,3,3
321,321. KEB 하나금융그룹 명동사옥 옆,11834,1275.0,2632.0,2099.0,22.241000507013688,17.737028899780295,1,3
322,322. 명동성당 앞,8001,747.0,1844.0,2149.0,23.047119110111236,26.859142607174103,1,3
324,324. 신세계백화점 본점 앞,8498,460.0,2419.0,1829.0,28.46552129912921,21.522711226170863,1,3
326,326. 안국역 5번출구 앞,16337,2412.0,3704.0,3384.0,22.672461284201507,20.713717328762932,3,3
327,327. 낙원상가 옆,14190,2047.0,2835.0,3187.0,19.978858350951374,22.459478505990134,3,3
328,328. 탑골공원 앞,7344,381.0,1412.0,1920.0,19.226579520697168,26.143790849673206,1,1
