대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중,군집_이용건수,군집_이용비중,위도,경도
4531,4531. 목동아파트 613동 앞,45950,10291,6377,12679,0.2239608269858541,0.1387812840043525,0.275930359085963,2,0,37.53315735,126.88408661
4029,4029. 청소년수련관 후문,45915,9352,5776,12347,0.2036807143634977,0.1257976696068823,0.2689099422846564,2,0,37.6396637,127.06041718
4137,4137. 답십리역 4번출구,45845,5399,11524,10393,0.1177663867379212,0.2513687425019086,0.2266986585232849,2,1,37.56600189,127.05431366
2639,2639.석촌역 8번출구,45582,7550,9230,10914,0.1656355578956605,0.2024922118380062,0.2394366197183098,2,1,37.50550461,127.10657501
263,263. 근로자회관 사거리,45137,5820,10434,10430,0.1289407802911137,0.231162904047677,0.2310742849546934,2,1,37.51715088,126.8886261
1117,1117. 등촌5단지아파트 버스정류장,45000,6543,8904,9777,0.1454,0.1978666666666666,0.2172666666666666,2,1,37.55819702,126.84426117
2719,2719.마곡문화공원,44848,4498,18468,5859,0.1002943275062433,0.4117909382804138,0.1306412772029968,2,2,37.56121063,126.83034515
202,202. 국민일보 앞,44756,3946,16104,9553,0.0881669496827241,0.3598176780766824,0.2134462418446688,2,2,37.52881622,126.92453003
4508,4508. 유원목동아파트 103동 앞,44528,6187,6974,10923,0.1389462809917355,0.1566205533596838,0.2453063241106719,2,3,37.52109528,126.87320709
1295,1295. 잠실역 8번출구,44519,3004,10696,12601,0.0674768076551584,0.2402569689346121,0.2830476875042116,2,3,37.51396179,127.10030365
5096,5096. LG사이언스파크 E14동,44505,4127,25012,976,0.0927311538029434,0.5620042691832379,0.0219301202112122,2,2,37.56349564,126.83583069
1011,1011. LIGA 아파트 앞,44309,7658,7111,10755,0.1728317046198289,0.1604865828612697,0.242727211176059,2,0,37.53474426,127.13528442
1173,1173. 강서구청사거리(SH타워),44097,11201,6257,10478,0.2540082091752273,0.1418917386670295,0.2376125360001814,2,0,37.55673599,126.85307312
795,795.양천 해누리타운,44085,5297,8938,9763,0.1201542474764659,0.2027446977429964,0.2214585459906997,2,1,37.51584244,126.86411285
1149,1149. 신방화역환승주차장,44051,5484,9549,10568,0.1244920660143924,0.216771469433157,0.2399037479285374,2,1,37.56728363,126.81827545
3680,3680. 강동역3번출구,43786,7617,8704,9469,0.173959713150322,0.1987849997716165,0.2162563376421687,2,1,37.53541565,127.13309479
1191,"1191. 마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)",43710,4392,9555,11050,0.1004804392587508,0.2185998627316403,0.2528025623427133,2,3,37.5602417,126.8271637
2628,2628.문정역 1번출구,43514,6904,9285,8971,0.1586615801810911,0.2133796019671829,0.206163533575401,2,1,37.48669815,127.12244415
