대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"747","747. 목동3단지 상가",31970,3353,10.49%,5323,16.65%,10113,31.63%
"4864","4864. 송파사거리",31967,3288,10.29%,5883,18.40%,8322,26.03%
"1208","1208. 풍납현대아파트쉼터",31931,5758,18.03%,5669,17.75%,7770,24.33%
"1162","1162. 공항초등학교건너편",31900,7710,24.17%,4469,14.01%,8382,26.28%
"2632","2632.석촌고분역 2번 출구",31895,5039,15.80%,5046,15.82%,9019,28.28%
"1986","1986. 태평양물산",31892,1150,3.61%,14820,46.47%,4255,13.34%
"1244","1244. 문정 법조단지8",31879,3549,11.13%,5473,17.17%,9480,29.74%
"1077","1077.강동역 1번출구 앞",31858,6170,19.37%,5355,16.81%,7248,22.75%
"1013","1013. 강동구청역 1번 출입구",31786,5276,16.60%,7048,22.17%,6811,21.43%
"3582","3582.화양동 우체국",31740,6722,21.18%,4560,14.37%,7272,22.91%
"2615","2615. 테라타워2",31739,7074,22.29%,7910,24.92%,4513,14.22%
"3413","3413.종로플레이스",31664,5061,15.98%,6154,19.44%,4347,13.73%
"4135","4135. 삼성생명 앞",31641,4030,12.74%,5621,17.76%,8686,27.45%
"4037","4037. 물넘이교",31609,4492,14.21%,4476,14.16%,9308,29.45%
"2742","2742.강서구민올림픽체육센터",31599,7597,24.04%,4321,13.67%,4493,14.22%
"213","213. KT앞",31572,8553,27.09%,5738,18.17%,4685,14.84%
