대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"3865","3865. 이튼타워리버 2차",Group 1,20496,2635,14.38%,26.21%
"1689","1689. 마들역 3번출구",Group 1,20446,2561,17.39%,25.34%
"3796","3796. 송정역 3번출구 앞",Group 1,20424,4529,19.13%,23.12%
"1975","1975. 대림역 1번 출입구 밑",Group 1,20420,3284,20.38%,24.16%
"3919","3919. 구로역·NC신구로점 버스정류장(구로역 방면)",Group 1,20414,1904,17.70%,27.86%
"2222","2222.사당역 12번출구 뒤",Group 1,20410,2741,18.44%,24.68%
"2348","2348. 포스코사거리(기업은행)",Group 1,20409,1467,44.86%,10.46%
"3517","3517. 용마사거리",Group 1,20390,3495,17.02%,25.34%
"1081","1081.트레빌빌딩",Group 1,20366,2458,16.72%,27.25%
"1224","1224. 아시아지하보도 2번 출구",Group 1,20358,2592,17.87%,28.02%
"3778","3778. 김포공항입구 교차로",Group 1,20331,2013,16.12%,29.74%
"2274","2274. 양재시민의숲역 3번출구",Group 1,20330,4056,25.20%,18.67%
"1321","1321. 국민은행 종암동지점 앞",Group 1,20310,2767,15.46%,25.24%
"2647","2647.잠실 자전거 수리센터 앞",Group 1,20299,3165,24.46%,24.17%
"4693","4693. 수색감리교회",Group 1,20285,4077,12.54%,27.60%
"4852","4852. 서울복합물류 게이트 1",Group 1,20260,2277,25.99%,20.86%
"1958","1958. 강서수도사업소민원센터",Group 1,20189,3854,17.95%,22.82%
"2032","2032. 이수역 11번출구쪽",Group 1,20173,2244,19.95%,25.66%
"205","205. 산업은행 앞",Group 1,20165,1196,34.28%,27.35%
"4685","4685. DMC역 5번 출구(수색역 방향)",Group 1,20161,2093,20.44%,28.01%
"3774","3774. 마곡9단지 910동 상가앞",Group 1,20158,5553,13.64%,23.44%
"4244","4244. 당인리발전소 공원 앞",Group 1,20121,1491,19.14%,31.92%
"123","123. 문화촌 공원",Group 1,20119,4180,11.47%,29.42%
"368","368. SK 서린빌딩 앞",Group 1,20101,1003,38.17%,17.34%
"1033","1033. 고덕동 아남아파트",Group 1,20081,5292,10.55%,24.25%
"2000","2000. 신도림4차 e편한세상 아파트 1109동 앞",Group 1,20073,2656,15.58%,27.86%
"577","577. 광진청소년수련관",Group 1,20060,2054,15.95%,29.94%
"933","933. 역촌종합시장 버스정류장(예일여고 방면)",Group 1,20045,2732,16.46%,26.40%
"1121","1121. 가양레포츠센터 앞",Group 1,20015,1936,18.93%,28.80%
"3754","3754. 신방화역 8번출구",Group 1,19980,3282,15.45%,25.08%
"4065","4065. 창동역 1번출구 앞",Group 1,19938,2206,25.14%,23.78%
"2228","2228.뒷벌공원 옆",Group 1,19876,4011,19.23%,23.49%
"1691","1691. 노원정보도서관",Group 1,19870,1823,16.50%,27.87%
"4385","4385. 용답동 우체국 주변",Group 1,19870,4877,16.36%,19.96%
"1319","1319. 종암박스파크",Group 1,19868,3960,14.59%,28.52%
"4496","4496. 잠실 파크리오 120동 앞",Group 1,19812,3581,15.15%,26.41%
"4633","4633. 센트럴파크타워 앞",Group 1,19806,1015,25.31%,28.19%
"1088","1088.풍납사거리(강동)",Group 1,19793,2859,21.53%,23.81%
"4031","4031. 청암예술학교 앞",Group 1,19766,1691,14.76%,27.66%
"4813","4813. 망우지구대",Group 1,19762,2539,14.64%,27.43%
"1059","1059. 래미안 강동팰리스(102동)",Group 1,19758,3268,15.12%,27.33%
"254","254. 도림신협 앞",Group 1,19752,3487,13.72%,23.26%
"1165","1165. 마곡중학교 후문",Group 1,19708,3853,12.77%,25.32%
"1017","1017. 둔촌고교입구 교차로(길동주민센터 방면)",Group 1,19702,3143,16.53%,27.53%
"729","729. 서부식자재마트 건너편",Group 1,19690,5502,15.08%,24.41%
"3656","3656. 둔촌푸르지오아파트",Group 1,19667,2973,14.89%,27.89%
"1602","1602. 광운대역 앞",Group 1,19639,1808,17.44%,24.98%
"3627","3627. 압구정나들목",Group 1,19632,798,18.78%,40.15%
"1994","1994. 삼성전자 물류센터 앞",Group 1,19630,6081,15.59%,24.04%
"4820","4820. 망우역 2번 출구",Group 1,19605,4680,16.57%,21.75%
"4087","4087. 우이교 교차로",Group 1,19579,1625,13.98%,32.00%
"3422","3422.성균관대 정문",Group 1,19576,3229,14.12%,23.57%
"3927","3927. 구로월드아파트 앞",Group 1,19575,2704,28.35%,17.80%
"5091","5091. 보타닉파크타워2",Group 1,19571,803,33.66%,14.99%
"2740","2740.마곡레포츠센터",Group 1,19564,2974,20.19%,15.32%
"1692","1692. 온곡초교 교차로",Group 1,19524,1875,17.53%,26.65%
"4964","4964.암사역사공원역 1번출구 A",Group 1,19460,3780,31.13%,16.50%
"119","119. 서강나루 공원",Group 1,19457,2993,14.82%,29.27%
